Region,Country,Measure Code,Measure,Currency Code,Amount (Local),Amount USD,Source,Post Date,Details
Pacific,Fiji,9,09 - International Assistance Provided,FJD,,,,7/27/2020,
Pacific,Fiji,09A,09A - Swaps,FJD,,,,7/27/2020,
Pacific,Fiji,09B,09B - International loans/grants,FJD,,,,7/27/2020,
Pacific,Fiji,10,10 - No breakdown,FJD,,,,7/27/2020,
Pacific,Fiji,11,11 - Other Economic Measures,FJD,,,,7/27/2020,
Pacific,Fiji,12,12 - Non-Economic Measures,FJD,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 23 July 2020).,7/27/2020,"(i) The authorities have been proactive in their efforts to keep the virus out of Fiji by early imposition of travel restrictions; (ii) They reacted to the first confirmed case with a broad set of measures, including reinforced detection measures, restrictions on movements and gatherings, closures of schools and certain types of businesses (e.g. cinemas, gyms, etc.), a nationwide curfew and lockdowns of affected areas; and (iii) As the number of cases have remained constant since Mid-April, the authorities started relaxing containment and mitigation restrictions at the national level on April 26th; (iv) June 4, no new cases have been detected as of the past 30 days, and the last active case was cleared by authorities; (v) June 21, Phase 2 of Fiji’s COVID-safe Economic Recovery Plan leads to the gradual easing of some restrictions (e.g. national curfew, limitations on public gatherings) and the reopening of schools and certain recreational facilities under strict conditions. The reopening of the economy under Phase 2 has been tied up with the launch of CareFIJI, a contact-tracing mobile application; (vi) July 16, The repatriation of Fijian citizens in July led to a resurgence of border cases – all quarantined in government-designated facilities. [update]"
Other ADB Members,Finland,1,01 - Liquidity Support,EUR,2000000000,2212389381,,7/27/2020,
Other ADB Members,Finland,01A,01A - Short-term lending,EUR,2000000000,2212389381,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 15  April 2020).,7/27/2020,"March, (i) EUR1 billion of the Bank of Finland's support liquidity by investing in short-term Finnish corporate commercial paper; (ii)  EUR1 billion for the State Pension Fund investments in commercial paper."
Other ADB Members,Finland,01B,01B - Support policies for short-term lending,EUR,,,,7/27/2020,
Other ADB Members,Finland,01C,01C - Forex operations,EUR,,,,7/27/2020,
Other ADB Members,Finland,2,02 - Credit creation,EUR,86080000000,95221238938,,7/27/2020,
Other ADB Members,Finland,02A,02A - Financial sector lending/funding,EUR,,,,7/27/2020,
Other ADB Members,Finland,02B,02B - Support policies for long-term lending,EUR,82000000000,90707964602,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 15  April 2020); KPMG. https://home.kpmg/xx/en/home/insights/2020/04/finland-government-and-institution-measures-in-response-to-covid.html (accessed 16 April 2020).,7/27/2020,(i) EUR52 billion in lending capacity due to the 1 ppt reduction in the structural buffer requirements of all credit institutions by removing the systemic risk buffer and adjusting institution-specific requirements; (ii)  EUR30 billion in lending capacity due to the decisions of the macroprudential supervisors of other countries.
Other ADB Members,Finland,02C,02C - Loan guarantees,EUR,4080000000,4513274336,"IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 15  April 2020); Finnvera. https://www.finnvera.fi/finnvera/uutishuone/uutiset/finnve (accessed 18 May 2020); MInistry of Finance, Finland. https://vm.fi/artikkeli/-/asset_publisher/valtioneuvosto-myonsi-valtiontakausjarjestelyn-finnairin-lainalle (accessed 24 May 2020); Ministry of Finance. https://vm.fi/artikkeli/-/asset_publisher/valtio-takaa-tyollisyysrahaston-lainoja (acccessed 19 June 2020); DBEI. https://dbei.gov.ie/en/News-And-Events/Department-News/2020/July/14072020.html (accessed 16 July 2020).",7/27/2020,"(i) Mar 20,  EUR600 million of state guarantee for Finnair. On May 20, the fund was finally established for a maximum loan guarantee fund of EUR540 million (the EU Commission authorized only a 90% guarantee on loan, nevertheless, added in the amounts column is the EUR600 million, the total loans available under this fund) ; (ii) EUR600 million of state guarantee for shipping companies; (iii) No amount/estimate: May 7, Finnvera (official export credit agency) increased its guarantee share for SME loans from 80% to 90%; (iv) June 11, EUR880 million, state guarantee for loans and interest from the Employment Fund; (v) July 14, The new COVID-19 Credit Guarantee Scheme (CGS) amounting to EUR2 billion will make low cost loans available to businesses impacted by the pandemic. It will ensure that SMEs, primary producers and small Mid-Caps can access liquidity to keep their businesses operating, as the economy continues to reopen and more and more people get back to work. It will be available for a wide range of products including overdrafts, term loans and working capital [update]."
Other ADB Members,Finland,3,03 - Direct long-term lending,EUR,14200000000,15707964602,,7/27/2020,
Other ADB Members,Finland,03A,03A - Long-term lending,EUR,14200000000,15707964602,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 18  May 2020).,7/27/2020,"(i) EUR 14.2 billion (increased from EUR10 billion) to expand Finland’s Export Credit Agency's lending and guarantee capacity to small and medium enterprises; (ii) no amount/estimate: March 20, easier re-borrowing of pension contributions allowed."
Other ADB Members,Finland,03B,03B - Forbearance,EUR,,,,7/27/2020,
Other ADB Members,Finland,4,04 - Equity support,EUR,710500000,785951327,MEE. https://tem.fi/artikkeli/-/asset_publisher/ensimmaiset-valtionavustukset-kunnille-yksinyrittajien-tukemiseksi (accessed 3 May 2020); https://vm.fi/en/article/-/asset_publisher/10616/hallitus-paatti-vuoden-2020-neljannesta-lisatalousarvioesityksesta (accessed 9 June 2020); European Sting. https://europeansting.com/2020/06/10/state-aid-commission-approves-e286-million-finnish-measure-to-recapitalise-finnair/ (accessed 15 June 2020); Ministry of Economic Affairs and Employment of Finland. https://tem.fi/artikkeli/-/asset_publisher/nordfuel-oy-n-haapaveden-biojalostamohankkeelle-24-5-miljoonaa-euroa-uusiutuvan-energian-suurten-demohankkeiden-investointitukea (accessed 19 June 2020).,7/27/2020,"(i) June 6, Further capital funding of EUR250 million is proposed for Tesi (Finnish Industry Investment Ltd), to increase equity financing for companies ; (ii) June 6, Capital funding of EUR 150 million is proposed for strengthening the balance sheet of Finnish Minerals Group ; (iii) June 10, The EU Commission approved Finland's  plans to contribute to the recapitalisation of Finnair, amounting to EUR286 million through the subscription of new shares by the State in the rights issue launched by Finnair on 10 June 2020 in the context of the coronavirus outbreak ; (iv) June 15, EUR24.5 million of investment support for NordFuel Oy's Haapevesi biorefinery project for large renewable energy demo projects ."
Other ADB Members,Finland,5,05 - Government support to income/revenue,EUR,27706400005,30648672571,,7/27/2020,
Other ADB Members,Finland,05A,05A - Health,EUR,1005000000,1111725664,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 21  April 2020).,7/27/2020,"March 20, (i) EUR1 billion for healthcare and testing, protection and medical equipment, public safety and border controls, and research on the coronavirus epidemic, in particular to develop methods for rapid diagnostics and vaccines and a knowledge base for timely decision-making on coronavirus measures, (especially on the exit strategy; (ii) EUR5 million contribution to international non-profit companies working on the development of a COVID-19 vaccine."
Other ADB Members,Finland,05B,05B - Non-health,EUR,26701400005,29536946908,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#F (accessed 9 May 2020); MEE. https://tem.fi/artikkeli/-/asset_publisher/ensimmaiset-valtionavustukset-kunnille-yksinyrittajien-tukemiseksi (accessed 3 May 2020); https://vm.fi/en/article/-/asset_publisher/10616/hallitus-paatti-vuoden-2020-neljannesta-lisatalousarvioesityksesta (accessed 9 June 2020); Ministry of Social Affairs and Health. https://stm.fi/en/article/-/asset_publisher/tyottomyysetuuden-suojaosaa-korotetaan-ja-liikkuvuusavustuksen-ehtoja-muutetaan-valiaikaisesti (accessed 19 June 2020); Ministry of Economic Affairs and Employment of Finland. https://tem.fi/en/-/hallitus-esittaa-jatkoa-toimille-joilla-on-tuotu-turvaa-ja-joustoa-tyomarkkinoille-korona-aikana (accessed 25 June 2020); Finnish Government. https://valtioneuvosto.fi/en/-/1410877/government-supports-the-recovery-and-development-of-tourism-with-additional-funding-of-eur-4.5-million (accessed 5 July 2020); Valtioneuvosto Statsradet. https://valtioneuvosto.fi/-/valtioneuvosto-antoi-asetuksen-meriliikenteen-tukemisesta (accessed 14 July 2020).,7/27/2020,"March 20, (i) EUR1.05 billion (increased from EUR900 million) in lower pension contributions through the remainder of 2020; (ii) EUR650 million for grants to SMEs and self-employed; and (iii) EUR3 billion for expanded parental allowance, social assistance and unemployment insurance; (iv) EUR4.5 billion i.7n tax and pension payment deferrals; (v) EU12 billion in increase in fiscal deficit from automatic stabilizers (4-5.0) percentage points of GDP; (vi) April 20, EUR250 million grants for  sole proprietors for the cost of running business;  (vii) EUR40 million to support restaurants in employing workers  and EUR83 million compensation for the imposed restrictions on activities; (viii) EUR5.1 billion (which is part of the fourth supplementary budget of 6 June amounting to EUR 5.5 billion) focusing on aid to municipalities and measures supporting quick economic recovery. This stimulus package is aimed at boosting demand, improving Finland’s long-term growth prospects, combating climate change, promoting biodiversity, and reinforcing the entire country’s capabilities, resilience, self-sufficiency, and skills and competences. The package also includes measures supporting local government that are intended to secure basic services and alleviate the challenges for local government finances resulting from the virus crisis. The supplementary budget proposal also includes a set of measures to support the wellbeing of children and young people; (ix) No amount/estimate: June 11, The exempt amount of the unemployment benefit will be temporarily raised. Eligibility for commuting and relocation allowance for full-time work will be temporarily amended by decreasing the distance required for daily commuting. The aim is to improve the financial security of unemployed persons when they take part-time work or other short-term work in a situation where full-time work is not yet available. Another aim is to help people find full-time work or seasonal work critical for agriculture ; (x) No amount/estimate: June 5, The Government proposes to continue the measures that have secured the livelihoods of jobseekers and entrepreneurs and helped businesses to overcome the worst of the crisis. The measures concern lay-offs and co-operation procedures; the right of laid-off employees and entrepreneurs to unemployment benefit; and start-up funding; (xi) July 1, EUR4.5 million fund to develop tourism in regions (EUR4 million) and domestic campaign to promote domestic tourism (EUR0.5 million) ; (xii) EUR28.4 million compensation for maritime transport ."
Other ADB Members,Finland,6,06 - Budget reallocation,EUR,,,,7/27/2020,
Other ADB Members,Finland,7,07 - Central bank financing government,EUR,,,,7/27/2020,
Other ADB Members,Finland,07A,07A - Direct lending & reserve drawdown,EUR,,,,7/27/2020,
Other ADB Members,Finland,07B,07B - Secondary purchase: government securities,EUR,,,,7/27/2020,
Other ADB Members,Finland,8,08 - International Assistance Received,EUR,,,,7/27/2020,
Other ADB Members,Finland,08A,08A - Swaps,EUR,,,,7/27/2020,
Other ADB Members,Finland,08B,08B - International loans/grants,EUR,,,,7/27/2020,
Other ADB Members,Finland,08B1,08B1 - Asian Development Bank,EUR,,,,7/27/2020,
Other ADB Members,Finland,08B2,08B2 - Other,EUR,,,,7/27/2020,
Other ADB Members,Finland,9,09 - International Assistance Provided,EUR,5500000,6084071,,7/27/2020,
Other ADB Members,Finland,09A,09A - Swaps,EUR,,,,7/27/2020,
Other ADB Members,Finland,09B,09B - International loans/grants,EUR,5500000,6084071,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (1 May 2020).,7/27/2020,The Finnish Government agreed to increase funding for the World Health Organization (WHO) to EUR5.5 million .
Other ADB Members,Finland,10,10 - No breakdown,EUR,,,,7/27/2020,
Other ADB Members,Finland,11,11 - Other Economic Measures,EUR,,,Finnish Government. https://valtioneuvosto.fi/en/-/1271139/amendments-to-pharmaceutical-legislation-aim-to-ensure-availability-and-sufficiency-of-medicines- (accessed 18 July 2020).,7/27/2020,Amendments to pharmaceutical legislation to allow Ministry of Social Affairs and Health has the right to temporarily restrict or authorise the prescription and dispensing of medicines intended for treating infectious diseases [update].
Other ADB Members,Finland,12,12 - Non-Economic Measures,EUR,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (1 May 2020).,7/27/2020,"March 16, the government invoked the Emergency Powers Act, which was used to close borders, restrict domestic movements, and expand service obligations of essential health-, social services-, and security personnel. Restrictions to and from the region of Helsinki were lifted on April 14.   On May 4, the government announced a plan to lift broad restrictions in favor of more targeted containment measures, including: on May 14, resumption of primary and lower secondary school and cross-border movement of essential traffic; on June 1, reopening of restaurants and public facilities and limits on public gatherings increased from 10 to 50 people; on July 31, resumption of public events with more than 500 people."
Other ADB Members,France,1,01 - Liquidity Support,EUR,,,,7/27/2020,
Other ADB Members,France,01A,01A - Short-term lending,EUR,,,OECD. http://www.oecd.org/coronavirus/en/ (accessed 15 April 2020).,7/27/2020,No amount/estimate: Wider access to Banque de France refinancing for SMEs.
Other ADB Members,France,01B,01B - Support policies for short-term lending,EUR,,,,7/27/2020,
Other ADB Members,France,01C,01C - Forex operations,EUR,,,,7/27/2020,
Other ADB Members,France,2,02 - Credit creation,EUR,3.302E+11,3.65265E+11,,7/27/2020,
Other ADB Members,France,02A,02A - Financial sector lending/funding,EUR,,,,7/27/2020,
Other ADB Members,France,02B,02B - Support policies for long-term lending,EUR,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 15  April 2020).,7/27/2020,"(i) No amount/estimate: April, Reducing the counter-cyclical bank capital buffer to 0% (an increase from 0.25 percent to 0.5 percent, effective April); (ii)  credit mediation to support renegotiation of SMEs’ bank loans."
Other ADB Members,France,02C,02C - Loan guarantees,EUR,3.302E+11,3.65265E+11,OECD. http://www.oecd.org/coronavirus/en/ (accessed 15 April 2020) EC. https://ec.europa.eu/commission/presscorner/detail/en/ip_20_779 (accessed 2 May 20200; Le Figaro  https://www.lefigaro.fr/flash-eco/le-gouvernement-annonce-390-millions-d-euros-pour-le-transport-routier-20200417 (accessed 2 May 2020); European Commission https://ec.europa.eu/commission/presscorner/detail/en/IP_20_796 (accessed 14 May 2020); Economie. https://www.economie.gouv.fr/3-projet-loi-finances-rectificative-plfr-iii-2020# (accessed 4 July 2020).,7/27/2020,"(i) EUR300 billion in the state guarantee mechanism for new liquidity loans granted by credit institutions between 16 March and 31 December 2020 to companies registered in France; (ii) EUR15 billion (from EUR12 billion) in specific guarantees for export insurance and credit insurance ; (iii) April 29, EUR5 billion loan guarantee for Renault; (iv) May 6, EUR4 billion state guarantee on loans and a subordinated shareholder loan to Air France-KLM by the French state; (v) No amount/estimate: June 6, the State guarantee system for credit insurance is strongly reinforced to allow companies to keep their cover. This measure is very important for construction companies whose cash flow is very dependent on inter-company credit. The measure will be implemented immediately by decree for SMEs and medium-sized enterprises; (vi) EUR6.2 billion loan guarantees for tourism industry ."
Other ADB Members,France,3,03 - Direct long-term lending,EUR,84700000000,93694690265,,7/27/2020,
Other ADB Members,France,03A,03A - Long-term lending,EUR,84700000000,93694690265,OECD. http://www.oecd.org/coronavirus/en/ (accessed 15 April 2020); Economie. https://www.economie.gouv.fr/coronavirus-startup-mesures-de-soutien-economique (accessed 15 April 2020); Economie. https://www.economie.gouv.fr/covid19-soutien-entreprises/soutien-filiere-livre (accessed 29 June 2020); Economie. https://www.economie.gouv.fr/covid19-soutien-entreprises/nouvelles-mesures-soutien-tresorerie-entreprises (accessed 5 July 2020); Economie. https://www.economie.gouv.fr/3-projet-loi-finances-rectificative-plfr-iii-2020# (accessed 4 July 2020).,7/27/2020,"See item (i) of Loan Guarantees in Measure 2; (ii) March 25, EUR80 billion in loans for startups; (iii) EUR3 billion loan to Air France ; (iv) No amount/estimate: July 2, Repayable advances and loans for SME companies with liquidity problems ; (v) EUR1.6 billion tourism loan offered by Bpifrance and the Groupe Caisse des Dépôts et Consignations ; (vi) Additional EUR100 million loan for startups ."
Other ADB Members,France,03B,03B - Forbearance,EUR,,,,7/27/2020,
Other ADB Members,France,4,04 - Equity support,EUR,22270000000,24634955752,OECD. https://www.oecd.org/coronavirus/en/ (update as of 14 May 2020); Economie. https://www.economie.gouv.fr/3-projet-loi-finances-rectificative-plfr-iii-2020# (accessed 4 July 2020).,7/27/2020,"(i) EUR20 billion for the temporary increase in state-ownership for some firms facing exceptional difficulties; (ii) June 5, EUR150 million worth of investment funds for companies developing sovereign technologies of the future whose risk associated with investment is high (quantum, health, cybersecurity, artificial intelligence, etc.) and of start-ups at any stage of development; (iii) EUR200 million equity support to SMEs in the aeronautics sector ; (iv) EUR1.3 billion equity investments in the tourism industry ; (v) EUR270 million to EUR620 million equity support under the Programme de soutien à l’innovation majeure PSIM (EUR120 million) & French Tech Souveraineté (EUR150 million, extendable up to a maximum of EUR500 million) ."
Other ADB Members,France,5,05 - Government support to income/revenue,EUR,1.25714E+11,1.39064E+11,,7/27/2020,1.17E+11
Other ADB Members,France,05A,05A - Health,EUR,8310000000,9192477876,OECD. http://www.oecd.org/coronavirus/en/ (accessed 15 April 2020).,7/27/2020,(i) EUR260 million (from the unspent reserves in the 2019 budget) and EUR3.5 billion from the (2020  budget allocation for the healthcare system);  (ii) EUR4.5 billion of additional funds for the purchase of equipment and other health expenses; (iii) creation of an additional emergency fund of EUR50 million for research on COVID-19.
Other ADB Members,France,05B,05B - Non-health,EUR,1.17404E+11,1.29871E+11,OECD. http://www.oecd.org/coronavirus/en/ (accessed 14 May 2020); Economie.  https://www.economie.gouv.fr/coronavirus-startup-mesures-de-soutien-economique (accessed 15 April 2020); Figaro. https://www.lefigaro.fr/flash-eco/le-gouvernement-annonce-390-millions-d-euros-pour-le-transport-routier-20200417 (accessed 2 May 2020); BBC News. https://www.bbc.com/news/business-52814074 (accessed 28 May 2020); MINEFI. https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=7527227F-7F00-40D8-BBBD-C73ACCFE38E3&filename=1040%20-%20G%C3%A9rald%20DARMANIN%20annonce%20que%20les%20possibilit%C3%A9s%20de%20report%20des%20cotisations%20sociales%20sont%20prolong%C3%A9es%20pour%20le%20mois%20de%20juin%2C%20sur%20demande..pdf (accessed 12 June 2020); Economie. https://www.economie.gouv.fr/covid19-soutien-entreprises/plan-automobile-appel-manifestation-dinteret (accessed 29 June 2020); Economie. https://www.economie.gouv.fr/covid19-soutien-entreprises/soutien-batiment-travaux-publics (accessed 29 June 2020); Economie. https://www.economie.gouv.fr/3-projet-loi-finances-rectificative-plfr-iii-2020# (accessed 30 June 2020); MINEFI. https://minefi.hosting.augure.com/Augure_Minefi/r/ContenuEnLigne/Download?id=94C9F4D9-0CB4-4D85-9026-7801E5E7F1E7&filename=2196%20DP%20-%20Plan%20de%20soutien%20%C3%A0%20l%27a%C3%A9ronautique.pdf (accessed 5 July 2020); Republique Francaise. http://www.assemblee-nationale.fr/dyn/15/textes/l15b3074_projet-loi.pdf (accessed 9 July 2020); Economie. https://www.economie.gouv.fr/adoption-parlement-3-budget-de-crise (accessed 26 July 2020).,7/27/2020,"(i) EUR8.5 billion for short-time work scheme; (ii) June 10, EUR8 billion (increased from EUR7 billion) for the solidarity fund to support income for the self-employed and smallest firms ; (iii) EUR48.5 billion in postponement of social and fiscal deadlines and the early reimbursements of tax credits (2.0% of 2019 GDP); (iv) No amount/estimate: tax exemptions for bonuses in ""essential"" sectors; (v) March 25, EUR1.75 billion in tax breaks and grants to startups; (vi)  April 20, EUR390 million road transport fund (liquidity for road transport sector); (vii) EUR0.5 billion for postponement of part of the unemployment insurance reform; (viii) No amount/estimate:  to maintain skills within companies and their renewal, the Government announced the creation of an aid for the recruitment of apprentices, from 5,000 euros to 8,000 euros per contract preparing for a diploma up to the professional license; (ix) June 6, government announced a strengthened support system for the sectors affected by the COVID-19 crisis including: EUR31 billion for emergency measures in favor of employees and companies; EUR2.632 billion support to aeronautics sector including for R&D (EUR1.5 billion), to aeronautics SMEs (EUR300 million) and government purchase of of military planes, helicopters and drones (EUR832 million); EUR1 billion to support the structuring investments of communities relating to health, ecological transition, in particular the thermal renovation of public buildings, and the renovation of heritage; EUR1.3 billion to support the cultural sector; EUR230 million to support the book industry; EUR2.2 billion exemption from social security contributions in the tourism industry ; EUR295 million grants to startups: FrenchTechBridge (EUR80 million), i-Nov (EUR20 million), ChallengesIA (EUR15 million), SATT (EUR65 million), French Tech Accélération (EUR100 million) & call for projects (EUR15 million) ; EUR1 million of public expense to promote start-ups employment; (viii) July 23, EUR490 million for greening of industry and to support industrial relocations [update]; (x) July 23, Support measures for young people and strengthening of measures for the most vulnerable: EUR1.14 billion will be allocated to the financing of bonuses for the hiring of apprenticeship contracts (EUR400 million) or professionalization contracts (EUR744 million); EUR50 million will be mobilized in particular to finance the 1 euro meal for scholarship students; EUR283 million are committed to implement the ""learning holidays"" program which will accommodate students during the summer holidays in schools, leisure centers, camps and cultural outings; EUR86.5 million are planned for the political districts of the city;  additional EUR200 million euros are notably devoted to emergency accommodation and the purchase of basic necessities; EUR7 million dedicated to the fight against violence against women, including EUR4 million additional to support associations, psychological support, support for accommodation and care for perpetrators of violence [update]; (xi) July 23, EUR4.5 billion support for local authorities including nearly EUR2.7 billion in advances will be deployed for communities experiencing loss of revenue from property transfer tax and EUR750 million to compensate for the loss of fiscal and state revenue municipalities and public inter-municipal cooperation establishments in difficulty [update]; (xii) July 23, EUR3.9 billion in measures to cancel charges, in particular intended for companies in the tourism, hotel, cultural and events sectors [update]."
Other ADB Members,France,6,06 - Budget reallocation,EUR,,,,7/27/2020,
Other ADB Members,France,7,07 - Central bank financing government,EUR,,,,7/27/2020,
Other ADB Members,France,07A,07A - Direct lending & reserve drawdown,EUR,,,,7/27/2020,
Other ADB Members,France,07B,07B - Secondary purchase: government securities,EUR,,,,7/27/2020,
Other ADB Members,France,8,08 - International Assistance Received,EUR,,,,7/27/2020,
Other ADB Members,France,08A,08A - Swaps,EUR,,,,7/27/2020,
Other ADB Members,France,08B,08B - International loans/grants,EUR,,,,7/27/2020,
Other ADB Members,France,08B1,08B1 - Asian Development Bank,EUR,,,,7/27/2020,
Other ADB Members,France,08B2,08B2 - Other,EUR,,,,7/27/2020,
Other ADB Members,France,9,09 - International Assistance Provided,EUR,,,,7/27/2020,
Other ADB Members,France,09A,09A - Swaps,EUR,,,,7/27/2020,
Other ADB Members,France,09B,09B - International loans/grants,EUR,,,,7/27/2020,
Other ADB Members,France,10,10 - No breakdown,EUR,24368000000,26955752212,Economie. https://www.economie.gouv.fr/3-projet-loi-finances-rectificative-plfr-iii-2020# (accessed 30 June 2020).,7/27/2020,"June 6, government announced a strengthened support system for the sectors affected by the COVID-19 crisis including: EUR5.168 billion to support the aeronautic sector; EUR4.5 billion support for the resumption of activities of local authorities; EUR8 billion to support the automotive sector; construction companies subject to corporation tax will be able to request, from 2020, the immediate reimbursement of their stock of receivables to carry back their deficits, as well as receivables that would come to be recognized in 2020 due to the losses linked to this health crisis; EUR6.7 billion to support the tourism industry [update]."
Other ADB Members,France,11,11 - Other Economic Measures,EUR,,,AMF. https://www.amf-france.org/fr/actualites-publications/communiques/communiques-de-lamf/lamf-suspend-linterdiction-de-creer-ou-daugmenter-des-positions-courtes-nettes (accessed 1 June 2020).,7/27/2020,"18 May, Suspended the ban on creating or increasing net short positions."
Other ADB Members,France,12,12 - Non-Economic Measures,EUR,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed  21 May  2020).,7/27/2020,"The government has implemented a range of measures to reduce the spread of COVID-19, including school closures, the ban of all non-essential outings and long-distance travel, and the introduction of night-time curfews in some cities. As of May 11, France has started to gradually ease the containment measures, beginning with the reopening of primary schools, shops, and industry, on a differentiated regional basis. Internal travel restrictions have also been relaxed and the use of masks is obligatory for public transport. ."
Central and West Asia,Georgia,1,01 - Liquidity Support,GEL,698456200,229700000,,7/27/2020,
Central and West Asia,Georgia,01A,01A - Short-term lending,GEL,,,,7/27/2020,
Central and West Asia,Georgia,01B,01B - Support policies for short-term lending,GEL,,,International Monetary Fund (IMF). https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 12 April 2020).,7/27/2020,No amount/estimate: The National Bank of Georgia (NBG) announced measures to support capital and liquidity in the banking sector.
Central and West Asia,Georgia,01C,01C - Forex operations,GEL,698456200,229700000,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 23 July 2020).,7/27/2020,"(i) NBG has sold USD229.7 million in five interventions in the foreign exchange market, to prevent disorderly depreciation [update]; (ii) No amount/estimate: May 14, To ease lari liquidity pressures, the NBG started FX swap lines with banks and microfinance institutions in mid-April."
Central and West Asia,Georgia,2,02 - Credit creation,GEL,930000000,305847382,,7/27/2020,
Central and West Asia,Georgia,02A,02A - Financial sector lending/funding,GEL,600000000,197320891,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 7 May 2020).,7/27/2020,"May 7, Commercial banks will gain access to a long-term financial resource of GEL600 million."
Central and West Asia,Georgia,02B,02B - Support policies for long-term lending,GEL,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 2 July 2020).,7/27/2020,"(i) No amount/estimate: April 29, The National Bank of Georgia (NBG) reduced its policy rate by 50 bp; (ii) No amount/estimate: June 24, The NBG further reduced its policy rate by 25 bp."
Central and West Asia,Georgia,02C,02C - Loan guarantees,GEL,330000000,108526490,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 24 June 2020).,7/27/2020,GEL330 million credit guarantee scheme for business.
Central and West Asia,Georgia,3,03 - Direct long-term lending,GEL,,,,7/27/2020,
Central and West Asia,Georgia,03A,03A - Long-term lending,GEL,,,,7/27/2020,
Central and West Asia,Georgia,03B,03B - Forbearance,GEL,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 24 June 2020).,7/27/2020,No amount/estimate: Bank loan service holidays for individuals was prolonged for 3 more months for those borrowers who asked for extension.
Central and West Asia,Georgia,4,04 - Equity support,GEL,,,,7/27/2020,
Central and West Asia,Georgia,5,05 - Government support to income/revenue,GEL,3417500000,1123906911,,7/27/2020,
Central and West Asia,Georgia,05A,05A - Health,GEL,828500000,272467264,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 24 June 2020).,7/27/2020,"(i) May 7, Additional funds of about GEL350 million will be directed to health spending including lab testing and quarantine expenditures as well as increased costs associated with hospitalization, medical treatment, and medical supplies. (ii) GEL478.5 million for healthcare infastructure and other virus spread prevention costs."
Central and West Asia,Georgia,05B,05B - Non-health,GEL,2589000000,851439646,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 24 June 2020).,7/27/2020,"No amount/estimate: (i) April 24, The ‘Anti-Crisis Economic Action Plan’ listed the government’s initiatives to support the population and businesses along with the measures already implemented or announced by the government, such as the payment for gas, electricity and utilities for the for users consuming up to 200 kW of electricity and/or up to 200 m3 natural gas monthly; (ii) The government introduced the State Program for Maintaining Prices of Primary Consumption Food Products. The program envisages subsidies for certain imported products to keep their local price stable (rice, pasta, buckwheat, sunflower oil, sugar, milk powder, beans, wheat, and wheat powder) for the period from 15 March to 15 May 2020; (iii) Bank loan service holidays for individuals; income and property tax holidays for hotels (until Nov 1, 2020); (iv) Within the frame of the new program “Co-financing Mechanism for Supporting Family-owned, Small and Medium-size Hotel Industries”, Enterprise Georgia (the agency of the Ministry of Economic and Sustainable Development of Georgia) will co-finance up to 80% of the annual interest rate on loans issued to family-owned, small and medium-sized hotels; (v) The custom clearance term for vehicles imported before 1 April 2020 was extended to 1 September 2020 for car importers; (vi) No amount/estimate: VAT refunds will become automatic and will accelerate; (vii) GEL2.589 billion in transfer payments to individuals, corporate subsidies, and tax relief; (viii) No amount/estimate: Starting from January 2021, the rule of indexation of pensions will be introduced. According to this rule, the pensions will increase by at least the rate of inflation, plus a premium depending on the pensioner's age."
Central and West Asia,Georgia,6,06 - Budget reallocation,GEL,,,,7/27/2020,
Central and West Asia,Georgia,7,07 - Central bank financing government,GEL,,,,7/27/2020,
Central and West Asia,Georgia,07A,07A - Direct lending & reserve drawdown,GEL,,,,7/27/2020,
Central and West Asia,Georgia,07B,07B - Secondary purchase: government securities,GEL,,,,7/27/2020,
